Material,Sintering,Structure,er,Qf,f,Tcf,Reference
0.6(Sm1/2 Li 1/2 )TiO 3-0.4(Sm1/2 Na1/2 Ti)O 3,1350,,75,2000,10,,1408
Ni 0.15 Nb 0.3 Ti 0.55 O2,1080,Tetragonal rutile,75,12800,,280,1409
xBi 2/3 MoO4-1-x BiVO 4 (x=0.5-0.7),850,"Monoclinic/tetragonal phase
boundary",75,8000,,,1410
Ba4Sm9.33 Ti 18O54 +0.5 wt% GeO 2,1200,"Tungsten-Bronze
Orthorhombic",75.2,5200,,-12,1411
BaSm2 Ti 4O12 +1 wt% CuO,1160,Tungsten bronze,75.8,4900,,-8,1412
"Ba6-3x(Sm1-yNd y) 8+2xTi 1-zSn z) 18O54 (x=2/3, y=0,
z=0.05)",,Tungsten bronze,76,6260,4.1,2,1413
"Ba6-3xSm8+2x Ti 18O54 (x=2/3)+0.5 wt% (30BaO-
40B2O3-30SiO 2)",1220,"Tungsten bronze
Orthorhombic",76,9100,,-7,1366
"Ba6-3x(Sm1-yNd y) 8+2xTi 1-zSn z) 18O54 (x=2/3,
y=0.1, z=0.05)",,"Tungsten-Bronze
Orthorhombic",76,7130,4.2,6,1413
(Bi 1.92 Ca0.08 )(Zn 0.64 Nb 1.36 )O7,960,Pyrochlore-monoclinic,76,3900,,,1407
(Bi 1.92 Cd 08)(Zn 0.64 Nb 1.36 )O7,980,Pyrochlore-monoclinic,76,700,,,1407
Ba4Sm9.33 Ti 18O54,1350,"Tungsten-Bronze
Orthorhombic",76,10000,,-12,1366
"Y2Ti 2O7+8wt% Bi 2 O3-+ 1mol% Nd 2O3-
Nb 2O5",1350,composite,76,18950,,26,1414
"Ba6-3x(Sm1-yNd y) 8+2x(Ti 1-zSn z)O54 x=2/3 y=0
Z=0.05",,"Tungsten-Bronze
Orthorhombic",76,6260,,2,1413
Bi 3(Nb 0.8V 0.2 )O7,870,Tetragonal,76,460,,3,1415
Ba4Sm9.33 Ti 18O54 +0.5 wt% B 2O3,1200,"Tungsten-Bronze
Orthorhombic",76.1,10500,,-19,1411
Ba4.5 Gd 9Ti 18O54,,Tungsten bronze,76.1,2050,,-35,1416
Sr 4Ti 3O10(Sr n+1 Ti nO3n+1 ),,Perovskite Tetragonal I4/mmm,76.1,12700,2.2,576,1255
Ba(2-x) Sm(4+2/3x) Ti 9O24 (x=0.15),1370,,76.1,12800,5.2,1,1390
"(Ba4.2 Sm9.2 )  Ti 18-yAl yO54
(y=0.4 =1+y/36 x=0.6)",1440,Tungsten bronze,76.1,3800,,-33,1374
Bi 2(Zn 1/3 Nb 2/3 ) 2O7,950,Monoclinic Pyrochlore,76.2,2980,,200,1417
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.15, y=0)",1100,M -Phase,76.2,1000,5.3,-62,"1295,1330"
Ba4(Nd 0.7 Sm0.3 ) 9.33 Ti 18O54 +2 wt% BBS,1000,"Tungsten-Bronze
Orthorhombic",76.3,83000,,18,1418
Ba4Sm7.33 Eu 2Ti 18O54,1460,Tungsten bronze,76.4,8990,,-16,1399
Ba4Nd 1.33 Eu 8Ti 18O54,1400,Tungsten bronze,76.6,8590,,-21,1399
Ba(Mg0.167 Ta0..333 Ti 0.50 )O3,1550,Perovskite,76.6,10000,4.1,113,802
Ba4(Nd 0.7 Sm0.3 ) 9.33 Ti 18O54 +1 wt% BBS glass,1100,"Tungsten-Bronze
Orthorhombic",76.6,82000,,13,1418
Bi 2(Zn 1/3 Nb 2/3-xV x) 2O7 (x=0.001)),990,Pyrochlore monoclinic,76.7,3580,,-88,1419
Ba4.2 Sm9.2 Ti 18O54 +0.2 wt%Al 2O3,1340,Tungsten-Bronze,76.9,10100,,-23,1420
Ba4Eu 9.33 Ti 18O54,1400,"Tungsten-Bronze
Orthorhombic",77,6580,,34,1399
"Ba6-3x(Sm1-yNd y) 8+2xTi 1-zSn z) 18O54 (x=2/3,
y=0.3, z=0.05)",,Tungsten Bronze,77,7850,4.2,9,1413
(Ti 0.9 Zr 0.1 )O2,1400,Rutile Tetragonal P4 2/mmm,77,14000,4,,48
24 wt% BaTiO 3-76 wt% Nd 2O3-3TiO 2,1220,composite,77,11000,,123,1421
(Ba1- Sm ) 4.2 Sm9.2 Ti 18O54 =0.1,1450,"Tungsten-Bronze
Orthorhombic",77,6680,,-11,1422
BaSm2 Ti 5O14,,"Tungsten bronze
Orthorhombic Pbam",77,9300,,12,"1423,1424"
"Ba6-3x(Sm1-yNd y) 8+2x(Ti 1-zSn z)O54 (x=2/3, y=0.3,
z=0.05 )",1360,"Tungsten-Bronze
Orthorhombic Pbam",77,8185,4,1,1423
Ba4Sm9.33 Ti 18O54 +0.5 wt% GeO 2,950,"Tungsten-Bronze
Orthorhombic Pbam",77.3,8900,,-19,1411
Na0.5xBi 1-0.5x)(Mo xV 1-x)O4 (x=0.05),720,,77.3,8000,3.8,20,1425
"Ba6-3x Sm8+2x Ti 18O54 + 0.5 wt% GeO 2 '+0.5
wt% B 2O3, x=2/3",1150,"Tungsten-Bronze
Orthorhombic Pbam",77.3,8900,,-13,1411
Ba(2-x) Sm(4+2/3x) Ti 9O24 (x=0),1360,,77.5,11200,5.2,-3,1390
"Li 1+x-yNb 1-x-yTi x+4yO 3 (x=0.05, y=0.05)",1100,M -Phase,77.8,2180,5.2,-42,"1295,1330"
Ba4Nd 5.33 Eu 4Ti 18O54,1460,"Tungsten-Bronze
Orthorhombic Pbam",78,10460,,10,1399
(Ba4.2 Sm.9.2 ) aTi 17.8 Al .0.2 O54,1460,"Tungsten-Bronze
Orthorhombic",78,8233,4.8,-18,1374
Pb 0.5 Ca0. 5(Li 1/4Nb 3/4 )O3,,Perovskite,78,2000,3.7,460,907
Pb 0.4 Ca0.6[(Fe1/2 Nb 1/2 ) 0.95 Sn 0.05 O3,1150,Perovskite Orthorhombic,78,6000,,-9,1386
Ca(Zr 0.6 Ti 0.4 )O3,,Perovskite orthorhombic,78,7840,,,823
(Ni 1/3 Nb 2/3 ) 1-xTi xO2 (x=0.4),1200,Rutile tetragonal P4 2/mmm,78,17060,,98,1177
Ba3LiNb 3Ti 5O21,1100,Hexagonal P6 3/mcm,78,9800,,205,1334
"(Ba4.2 Sm9.2 ) d Ti 18-yAl yO54 (y=0.2, d=1+y/36,
x=0.6)",1460,"Tungsten-Bronze
Orthorhombic Pbam",78,8200,,-18,1374
K0.5xBi 1-0.5x(Mo xV 1-x)O4 x=0.8-0.1,700,Scheelite tetragonal,78,7800,,,1426
Ba4(Nd 28/3-yYb y)Ti 18O54 y=1,1480,"Tungsten-Bronze
Orthorhombic",78.4,6780,,53,1424
Ba(2-x) Sm(4+2/3x) Ti 9O24 (x=0.05),1360,,78.5,11900,5.2,-2,1390
Bi 2(Zn 1/3 Nb 2/3-xV x) 2O7 (x=0.001),850,Pyrochlore monoclinic,78.5,3780,,,1417
Ba4Nd 8.33 DyTi 18O54,1480,Orthorhombic Pbam,78.6,10040,4.8,34,1424
Ba6-3xSm8+2x Ti 18O54x=0.75,,Orthorhombic Pbam,78.6,8700,,,1423
Bi 2(Zn 1/3 Nb 2/3-xV x) 2O7 (x=0.003),850,Pyrochlore monoclinic,78.6,3140,,,1417
Ba4Sm8.33 EuTi 18O54,1460,"Tungsten-Bronze
Orthorhombic Pbam",78.7,9560,,-11,1399
Ba4Sm9.33 Ti 18O54 +0.3 mol% TiO 2,1350,Tungsten Bronze Pbam,78.8,10750,4.8,-21,1395
"(1-x)Ca0.61 Nd 0.26 TiO3-xNd(Zn 0.5 Ti 0.5 )O3
+x=0.15",,Perovskite,78.8,19200,,134,1393
Ba6-3xSm8+2x Ti 18O54 x=0.5,,"Tungsten-Bronze
Orthorhombic Pbam",78.9,8400,,-19,"1423,1427"
Pb 0.5 Ca0. 5(Na1/4 Nb 3/4 )O3,,Perovskite,79,400,3.7,550,907
(Ba0.97 Ca0.03 )-Sm2O3-4.5TiO 2,,Tungsten Bronze,79,10500,10,-5,1423
Bi 18(Ca1-xZn x) 8Nb 12O65 (x=0.725),925,,79,1000,3.2,1,1343
Bi 3NbO7+20 wt% Bi 4B2O9,900,Composite,79,1000,,8,1428
Ba4Nd 8.33 HoTi 18O54,1480,"Tungsten-Bronze
Orthorhombic Pbam",79.3,9690,4.7,31,1429
Ba4Nd 8.33 ErTi 18O54,1480,"Tungsten-Bronze
Orthorhombic",79.5,8290,4.1,53,1429
Ba4Nd 8.33 YbTi 18O54,1480,"Tungsten-Bronze
Orthorhombic Pbam",79.4,6780,4.7,33,1429
"Ba6-3xLa8+2x Ti 1-zZr x) 18O54 (x=2/3, z=0.1)",,"Tungsten-Bronze
Orthorhombic",79.6,6670,4.83,109,1430
"Ba6-3xSm8+2x Ti 18O54 (x=2/3) +1 wt% Bi 2 O3 and
BaxSr 1-xTiO3",,"Tungsten-Bronze
Orthorhombic",79.6,10800,,2,1431
Ca(1-x) Nd 2x/3 TiO3 (x=0.3),,Perovskite,79.7,13000,,295,1432
Ba6-3x Sm8+2x Ti 18O54-0.1TiO 2 x=2/3,1350,"Tungsten-Bronze
Orthorhombic",79.8,9880,,-18,1395
Bi 3NbO7,,Cubic Fm3m,80,300,5,,1433
Ba4Sm9.33 Ti 18O54,1450,Tungsten Bronze,80,10700,4.7,-15,1411
91.9TiO 2-8.1Bi 2O3,,Mixture phases,80,9000,,21,1326
0.58(Sm1/2 Li 1/2 )TiO 3-0.42(Sm1/2 Na1/2 Ti)O 3,1350,Tetragonal,80,2000,10,,1408
0.8Bi 2O3-0.3Nb 2O5,920,Flourite δ-Bi 2O3 Fm-3m,80,420,,-306,1291
(Ti 0.9 Ge0.1 )O2,1400,Rutile Tetragonal P4 2/mmm,80,24000,4,,48
(Sm1/2 Na1/2 Ti)O 3,1350,Perovskite tetragonal I4/mmm,80,13000,10,,1408
(La0.44 Sr 0.33 )TiO 3,1350,Orthorhombic Ibmm,80,7500,3,70,1434
(Li 1/2 Nd 1/2 )TiO 3,,Perovskite Orthorhombic,80,3100,4,-310,1435
0.15(Ba0.95 Sr 0.05 )-0.15Sm2O3-0.7TiO 2,1380,,80,11000,3,0,1436
Pb 0.4 Ca0. 6(Fe1/2 Nb 1/2 )O3,,Perovskite,80,6100,3.2,-25,907
"Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 (x=2/3, y=0.1)",1340,"Tungsten-Bronze
Orthorhombic",80,9620,3.75,,1437
"Ba6-3x(Sm1-yNd y) 8+2x(Ti 1-zSn z)O54 (x=2/3, y=0.8,
z=0.05 )",1360,"Tungsten-Bronze
Orthorhombic Pbam",80,10600,3.9,11,1413
"Ba6-3x(Sm1-yNd y) 8+2x(Ti 1-zSn z)O54 (x=2/3, y=0.5,
z=0.05 )",1360,"Tungsten-Bronze
Orthorhombic",80,10050,4,5,1413
"BaO-Bi 2O3-Nd 2O3-TiO2+
0.4 wt% Mn(CH 3COO)2+WO3",1320,,80,7000,,0,1438
(Ba1- Sr  ) 4.2 Sm9.2 Ti 18O54 (=0.01),1450,"Tungsten-Bronze
Orthorhombic",80,8890,,-11,1422
"(Ba1-Sr ) 6-3x Sm8+2x Ti 18O54 (=0.06, x=0.6)",,"Tungsten-Bronze
Orthorhombic",80,10075,,-7,1422
Bi 3(Nb 0.9V 0.1 )O7,870,Tetragonal,80,600,,-22,1415
(Pb 1-xCax)ZrO3,,Perovskite,100,3000,,,1352
Sr(Bi 1-xNd x) 8 Ti 7O27,1250,,100,1000,,,1439
(Ba0.952 Sr .0.048) 4.2 Sm9.2 Ti 18O54,,"Tungsten-Bronze
Orthorhombic Pbam",80.1,10205,4.9,-9,1422
(Ba1- Sr  ) 4.2 Sm9.2 Ti 18O54 (=0.06),1450,"Tungsten-Bronze
Orthorhombic Pbam",80.2,10075,,--7,1422
(Ba1- Sr  ) 4.2 Sm9.2 Ti 18O54 (=0.0),1450,"Tungsten-Bronze
Orthorhombic Pbam",80.3,9500,,-9,1422
"Ca0.8 Sr 0.2 TiO3-Li 0.5 Sm0.5 TiO3 + x wt% [YB 2O3-
(1-y)CuO] x=7.5, y=0.5",900,Perovskite,80.4,3000,,,1400
(Ba1- Sr  ) 4.2 Sm9.2 Ti 18O54 (=0.04),1450,Tungsten Bronze,80.6,9590,,-12,1422
Ba6-3xSm8+2x Ti 18O54(x=2/3),1360,"Tungsten-Bronze
Orthorhombic",80.8,11330,4,-11,"1395,1440
, 1441"
Ba6-3x(Sm0.2 Nd 0.8 ) 8+2xTi 18O54 (x=2/3),1330,Tungsten Bronze,80.8,8100,,36,1442
BaO-Pr 6O11-TiO2,,Tungsten Bronze,81,9000,5,130,1403
(Ba1-xCa x)O-Sm2 O3-4.5TiO 2 (x=0.05),,Tungsten Bronze,81,9500,,2,1443
"Pb 1-xCax[(Fe1/2 Nb 1/2 ) 1-ySn y]O3 (x=0.6, y=0.05)",1150,Perovskite,81,4830,,3,1386
Bi 2O3-TiO2 (1:11.3)+0.112 wt% CuO,915,,81,8900,,0,1444
"Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 (x=2/3, y=0.3)",1340,Tungsten Bronze,81,9630,3.9,,1437
(Ba0.95 Ca0.05 )-Sm2O3-4.5TiO 2,,Tungsten Bronze,81,11000,10,2,1443
[(Li 0.5 Bi 0.5 )xBi x][Mo xV 1-x]O4 x=0.098,650,Monoclinic sheelite,81,8000,,10,1445
Ba4(Nd 0.7 Sm0.3 ) 9.33 Ti 18O54 +0.5 wt% Ag,1100,Tungsten Bronze,81.1,11000,4.6,3,1418
Ba4Sm5.33 Eu 4Ti 18O54,1460,Tungsten Bronze orthorhombic,81.1,7109,,-20,1399
Ba4Nd 7.33 Eu 2Ti 18O54,1460,Tungsten Bronze orthorhombic,81.1,10660,,31,1399
Ba4Sm3.33 Eu 6Ti 18O54,1400,Tungsten Bronze orthorhombic,81.2,8604,,-26,1399
Ba4.2 Sm9.2 Ti 18O54 +4 wt% SrTiO 3,1360,Tungsten Bronze orthorhombic,81.2,8470,,-2,1446
Ba4(Nd 0.7 Sm0.3 ) 9.33 Ti 18O54 +1 wt% Ag,1100,"Tungsten
Bronze Orthorhombic",81.2,11000,4.84,1,1418
Ba4Sm9.33 Ti 18O54(SPS),1200,Tungsten Bronze,81.2,10099,5,-17,1447
(Ba098Sr .0.02 ) 4.2 Sm9.2 Ti 18O54,,Tungsten Bronze orthorhombic,81.4,9661,4.8,-11,1422
Ba4Sm9.33 Ti 18O54 +14 mol% TiO 2,1350,Composite,81.5,10415,5,0,1395
Ba6-3x Sm8+2x Ti 18O54-0.1TiO 2 -1.4TiO 2 x=2/3,1350,Tungsten Bronze,81.5,10400,,0,1395
Ba6-3x(Sm1-yNd y) 8+2xTi 18O54x=2/3 y=0.84,1400,Tungsten Bronze orthorhombic,81.7,10500,,2,1448
LiNb 0.6 Ti 0.5 O3 textured,,,81.8,5750,,-43,1449
(Li 1/2 Nd 1/2 )TiO 3,,Pervskite Tetragonal,82,2220,,292,1450
Ba6-xSm8+2x Ti 18O54 (x=0.5),1300,Tungsten Bronze,82,10150,,-17,1448
(Pb 0.45 Ca0.55 )[(Fe0.5 (Nb.96 Ta0.04 ) 0.5)O3,1150,Perovskite cubic Pm3m,82,7650,,-5,1451
"Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 (x=2/3, y=0.5)",1340,Tungsten Bronze orthorhombic,82,9500,3.75,,1437
(Ba0.8 Ca0.2 ) 6-3xSm8+2xTi 18O54 x=1.5,1350,Tungsten Bronze orthorhombic,82,10000,,-20,1452
"Ba6-3x(Sm1-yNd y) 8+2xTi 1-zSn z) 18O54 (x=2/3,
y=0.8, z=0.05)",1360,Tungsten Bronze orthorhombic,82,1000,4.1,17,1413
Ba4Sm8.08 Li 0.25 Ti 18O54,1400,Tungsten Bronze orthorhombic,82.1,5620,4.7,-2,1453
Ba{Ti 0.95 Fe0. .05 }O3-d,1450,Perovskite,82.1,4800,4,,1337
"Ba6-3x(Sm0.2 Nd 0.8 ) 8+2xTi 18O54 (x=2/3) +1 wt%
Bi 2O3",1200,Tungsten Bronze orthorhombic,82.1,8530,,17,1442
Ba4La4 Ti 7O24,,Hexagonal,82.2,500,,317,1364
"Ba6-3x[Nd (8+2x)-yBi y) ] Ti 18O54 (x=2/3, y=0.05)",1380,Tungsten Bronze,82.2,9760,,62,1416
(Ba0.8 Sr 0.2 ) 4.2 Sm9.2 Ti 18O54,,Tungsten Bronze orthorhombic,82.3,2860,,0,1422
Ba4(Sm.95 Bi .05 ) 9+1/3 Ti 18O54,1420,Tungsten Bronze orthorhombic,82.3,8810,,-17,1454
Ba6-3xSm8+2x Ti 18O54 (x=0.6),1450,Tungsten Bronze orthorhombic,82.5,10500,4.6,-12,1440
Ba4Nd 9.33 Ti 18O54,1460,Tungsten bronze,82.5,10060,,71,1403
"(Pb 1-xCax)[Fe1/2 Nb 1/2 ] 1-yZr y]O3 (y=0.01,
x=0.55)",1150,Perovskite,82.5,6800,3.8,-3,1378
Ba4Nd 8.33 EuTi 18O54,1480,Tungsten Bronze orthorhombic,82.6,10400,4.8,47,1429
Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 x=2/3 y=0.72,1400,Tungsten Bronze orthorhombic,82.7,10500,,4,1448
Ba4.2 Sm9.2 Ti 18O54,1500,Tungsten Bronze orthorhombic,83,8950,3.5,-13,1455
BaO-Nd 2O3-5TiO 2,1450,Tungsten Bronze,83,10500,,70,1403
Ba4.2 (Sm0. .9Nd 0. .1) 9.2 Ti 18O54,1500,Tungsten Bronze orthorhombic,83,8936,3.5,-6,1455
CaBa4Nb 2TiO12,1470,Cubic perovskite,83,1200,2.9,60,1208
"(Pb 0.45 Ca0.55 )[(Fe0.5 Nb 0.5 ) 0.9Sn 0.1]O3 +
0.2 wt% CuO +0.1wt% Bi 2O3",1000,Tungsten Bronze,83,6080,,8,1456
(Ni 1/3 Nb 2/3 ) 1-xTi xO2 (x=0.5),1200,Rutile tetragonal P4 2/mmm,83.1,19300,,165,1177
Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 x=2/3 y=0.6,1400,Tungsten Bronze orthorhombic,83.4,10700,4,11,1437
Ba{Ti 0.92 Ga0.008 }O3-,1450,Perovskite Hexagonal,83.7,4200,4.2,,1337
"Ba6-3x(La1-y-zSmyBi z) 8+2x Ti 18O54 (x=2/3, y=0.7,
z=0)",1350,Tungsten Bronze,83.8,8000,4,33,1457
(Pb 1/2 Ca1/2 )(Fe1/2 Ta1/2 )O3,1250,Perovskite cubic,83.9,6680,7,,1458
Ba4(Nd .95 Bi .05 ) 9.33 Ti 18O54,1360,Tungsten Bronze orthorhombic,83.9,8330,,32,1454
Ba4.2 (Sm0.9 La0.1 ) 9.2 Ti 18O54,1500,Tungsten Bronze orthorhombic,84,9050,3.5,2,1455
Ba6-3x (Sm1-yNd y) 8+2x Ti 18O54 x=0.6 y=0.2,1500,Tungsten Bronze,84,9000,,0,1455
"BaO.(Nd 0.8 Bi 0.2 ) 2O3.4TiO 2+Bi 2O3-B2O3-ZnO-
SiO 2",,,84,3000,,24,1459
Ba6-3xSm8+2x Ti 18O54 (x=0.7) hotpressed,1200,Tungsten Bronze orthorhombic,84,9960,,-14,1460
0.95TiO 2-0.05Bi 2Ti 4O11,1200,,84,12500,,230,1267
BaPr 2Ti 5O14,,Tungsten Bronze orthorhombic,84,9000,5,150,1461
(Ba0.9 Ca0.1 )-Sm2O3-4.5TiO 2,,Tungsten Bronze,84,9500,10,25,1443
Ba4(Sm0.9 Bi 0.1 ) 9+1/3 Ti 18O54,1380,Tungsten Bronze orthorhombic,84.1,7840,,-21,1454
0.4PbZrO 3-0.6Ca(Fe1/2 Nb 1/2 )O3,,Perovskite,84.7,3000,4.2,41,1462
Ba4.2 (Sm0.7 Nd 0..3 ) 9.2 Ti 18O54,1500,Tungsten Bronze orthorhombic,85,9160,3.5,9,1455
"Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 (x=2/3, y=0.8)",1340,Tungsten Bronze orthorhombic,85,9460,3.9,1,1437
0.77Bi 2O3-0.23Nb 2O5,900,Flourite δ-Bi 2O3 Fm-3m,85,350,,-215,1291
"Pb 1-xCax[(Fe1/2 Nb 1/2 ) 1-ySn y]O3 (x=0.55, y=0.1)",1150,Perovskite,85,8600,,0,1386
"(Pb 1-xCax)[(Fe1/2 Nb 1/2 ) 1-yZr y]O3 (y=0.1, x=0.55)",1200,Perovskite,85,8600,,-1,1378
Pb 0.45 Ca.0.55[(Fe1/2 Nb 1/2 ) 0.9 Sn 0.1 O3,1150,Perovskite Orthorhombic,85.3,8600,,0,1386
Ba4Sm8.33 LiTi 18O54,1400,Tungsten Bronze orthorhombic,85.4,5045,4.5,45,1453
Ba4.2 (Sm0.5Nd 0..5) 9.2 Ti 18O54,1500,Tungsten Bronze,86,9170,3.4,25,194
Pb 0.5Ca0. 5(Mg1/3 Nb 2/3 )O3,,Perovskite,86,4600,3,34,907
"(Pb 0.45 Ca0.55 )[(Fe0.5 Nb0. 0.5 ) 0.9 Sn 0.1]O3
+0.2wt%CuO +0.4wt%Bi 2O3",1000,Perovskite Orthorhombic,86,4340,,8,1463
0.74Bi 2O3-0.26Nb 2O5,900,Flourite δ-Bi 2O3 Fm-3m,86,1000,,120,1291
BaTi 0.5 Ga0.25 Nb 0.25 O3,1500,Perovskite tetragonal P4mm,86,3050,4,,1268
Ba1.37 Na063Nd 2TiO10,1250,Orthorhombic Amam,86,1500,,270,1464
Ba6-3x Nd 8+2xTi 18O54 (x=0.75),,Tungsten Bronze orthorhombic,86,10450,,,1423
Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 (x=0.5 y=0.67),1400,Tungsten Bronze orthorhombic,86,7850,,234,1448
BaNd 2TiO12+0.075 wt% Bi 4B2O9,1200,Orthorhombic,86,5400,,4,261
BaO-Nd 2O3-4TiO 2+10 wt% Bi 4B 2O9,,Tungsten Bronze,86,4700,,1,1465
"0.15(Ba0.93 Sr 0.07 )O-0.15(Sm0.4 La0.6) 2O3-
0.7TiO 2]",1370,,86.2,16700,,95,1466
Pb 0.45 Ca0.55[(Fe1/2 Nb 1/2 ) 0.95 Sn 0.05 O3,1150,Perovskite Orthorhombic,86.3,6250,,2,1386
"(Pb 1-xCax)[Fe1/2 Nb 1/2 ] 1-yZr y]O3(y=0.01, x=0.5)",1150,Perovskite orthorhombic,86.3,6800,3.7,25,1378
Pb 0.45 Ca0.55[(Fe1/2 Nb 1/2 ) 0.9 Sn 0.1 O3,1150,Perovskite orthorhombic,86.7,7900,,0,1386
"Ba6-3x--zSr zNd 8+2x-y Bi yTi 18O54y=0, z=0.9 x=0.5",,Tungsten Bronze,86.7,7200,,63,1467
"Ba6-3x(La1-y-zSmyBi z) 8+2xTi 18O54 (x=2/3, y=0.5,
z=0)",1350,Tungsten Bronze orthorhombic,86.9,7360,3.8,83,1457
0.9CaTiO 3-0.1Sm(Mg0.5 Ti 0.5 )O3,1550,Perovskite,87,9500,3.2,285,786
"(Pb 1-xCax)[(Fe1/2 Nb 1/2 ) 1-yZr y]O3 (y=0.05,
x=0.55)",1200,Perovskite orthorhombic,87,8500,,-10,1378
Sr(Bi 1-xNd x) 8 Ti 7O7x=0.05,,,87,190,,,1468
(Ba1-zPb z) 6-xNd 8+2/3x Ti 18O54 x=2/3 z=0.4,1400,Tungsten Bronze orthorhombic,87,4000,,-32,1469
Ca(1-x) Nd 2x/3 TiO3 (x=0.39),,Perovskite,87.5,12400,,242,1432
Pb 0.46 Ca.54[(Fe1/2 Nb 1/2 ) 0.9 Sn 0.1 O3,1150,Perovskite orthorhombic,87.8,7870,,5,1386
Ba4.2 (Sm0.1 Nd 0..9 ) 9.2 Ti 18O54,1500,Tungsten Bronze orthorhombic,88,9500,3.44,64,1455
Ba6-xNd 8+2x Ti 18O54 (x=0.7) hot pressed,1300,Tungsten Bronze,88,4920,,55,1460
Ba4.2 (Sm0.7La0.3) 9.2 Ti 18O54,1500,Tungsten Bronze orthorhombic,88,8050,3.44,44,1455
Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 x=0.6 y=0.9,1500,Tungsten Bronze orthorhombic,88,8500,,64,1455
Ba6-3x(Sm1-yNd y) 8+2xTi 18O54 x=0.6 y=1.0,1500,Tungsten Bronze orthorhombic,88,8300,,76,1455
BaO-Bi 2O3-TiO2-Nd 2O3,,Tungsten Bronze,88,5500,,8,1421
(Ba1-3zPb z) 6-xNd 8+2/3x Ti 18O54 x=2/3 z=0.22,1400,Tungsten Bronze orthorhombic,88,5500,,0,1469
"BaO-Nd 2O3-4TiO 2 +0.5 wt% Al 2O3+8wt%
Bi 2O3",,Tungsten Bronze,88,8000,,0,1019
"(1-x)(Mg0.95 Zn 0.05 )TiO 3-xCa0.6 La0.8/3 TiO3
(x=0.9)",1320,composite,88,32800,,205,411
Ba4.2 Nd 9.2 Ti 18O54,1500,Tungsten Bronze,88,8315,3.4,76,1452
Li 0.2 Nd 0.6 TiO3,1450,,88,2400,,-210,1470
Pb 0.46 Ca0.54[(Fe1/2 Nb 1/2 ) 0.95 Sn 0.05 O3,1150,Perovskite Orthorhombic,88.2,6100,,7,1386
"Ba6-3x(La1-y-zSmyBi z) 8+2x Ti 18O54 (x=2/3, y=0.7,
z=0.04)",1350,Tungsten Bronze,88.4,6690,4.4,1,1457
"0.05Pb(Fe 2/3 W1/3 )O3-
0.95Pb 0.4 Ca0.6 (Fe1/2 Nb 1/2 )O3",1000,Perovskite,88.4,3800,,-6,1371
Ba4(Sm0.85 Bi 0.15 ) 9+1/3 Ti 18O54,1360,Tungsten Bronze orthorhombic,88.9,6620,,-20,1454
Ba(Nd 0.82-zSmzBi 0.18 )Ti 4O12 (z=0.7),1300,Tungsten Bronze,89,6880,4.5,,1471
"(Pb 0.45 Ca0.55 )[(Fe0.5 Nb 0.5 ) 0.9Sn 0.1]O3+5wt%BiO 3
-LiF",950,Perovskite orthorhombic,89,800,,-15,1472
"0.2CaTiO 3-0.5(Li 1/2 Nd 1/2 )TiO 3-
0.3(Dy1/3 Nd 1/3 )TiO 3",1350,Tetragonal P-4b2 Perovskite,89.4,4650,,-87,1387
(Ni 1/3 Nb 2/3 ) 1-xTi xO2 (x=0.6),1200,Rutile tetragonal P4 2/mmm,89.4,12800,,193,1177
"Ba6-3x(Nd 1-yBi y) 8+2x Ti 18O54 (x=2/3, y=0.04)",1340,Tungsten Bronze orthorhombic,89.6,7700,4,21,1473
Ba6-3xNd 8+2x Ti 18O54+PbO/Bi 2O3,,Tungsten Bronze,90,9000,,0,1455
BaO-(Nd 0.95 Bi 0.05 ) 2O3-4TiO 2,1300,Tungsten Bronze type,90,7600,,33,153
0.96La2/3 TiO3-0.04CaTiO 3,,Perovskite Orthorhombic,90,27000,10,190,1474
MBRT-90,1300,Composite,90,6100,,6,454
0.75Bi 2O3-0.25Nb 2O5,900,Flourite δ-Bi 2O3 Fm-3m,90,630,,60,1291
0.5Sm1/2 Li 1/2 TiO3-0.5Sm1/2 Na1/2 TiO3,1300,Tetragonal,90,1500,,-140,1408
BaNd 2Ti 5O14 +25 wt% Nd 2O3+0.5 mol% PbO,1250,Tungsten Bronze orthorhombic,90,6000,,-20,1475
Ca0.61 Nd 0.26 TiO3 (Sol-gel),1200,Orthorhomic perovskite Pmna,90.2,25200,,243,1476
0.1La(Mg1/2 Ti 1/2 )O3-0.9CaTiO 3,1500,Perovskite Pbnm,90.4,31900,5.8,,846
"(Pb 1-xCax)[Fe1/2 Nb 1/2 ] 1-yZr y]O3 (y=0.01,
x=0.45)",1150,Perovskite,90.6,2500,3.6,41,1378
BaSm1.8 La.2Ti 5O14,,Orthorhombic Pbam,90.7,8900,,4,1477
