Material,Sintering,Structure,er,Qf,f,Tcf,Reference
SrWO4,1150,Tetragonal I4 1/a,7.9,56000,,-55,138
Mg3(VO4) 2,950,Orthorhombic Cmca,7.9,53000,,-84,50
CaO-B2O3-SiO 2(50.1:22.2:67.3 mol%),900,Composite,7.9,2100,9.6,,6
CaMg0.9 Zn 0.1Si 2O6,1200,Monoclinic C2/c,7.9,76100,,-22,128
ZnAl 2O4,1700,Spinel cubic Fd3m,7.9,82000,,-63,139
Sr 2ZnSi 2O7 +15 wt% LMZBS,875,Composite,7.9,39000,12.71,-54,140
MgO,1490,Cubic Fm3m,7.9,113600,16.4,,141
Nd 2SiO 5,1500,Monoclinic P2 1/c,7.9,38800,18.35,-53,142
Ca(Sn 0.1 Si 0.9 )O3,1375,Monoclinic P2 1/a,7.9,58000,,-43,143
α-CaSiO 3+2 wt% TiO 2,1300,Mixture,7.9,16500,,1,144
Ca(Mg1-xAl x)(Si 1-x/2 Al x/2 ) 2O6 (x=0.08),1275,Monoclinic C2/c,7.9,59800,,-42,145
NaAgMoO 4,400,Spinel Fd-3m,7.9,33000,,-120,146
Mg2SnO4+LiF-Fe2O3-V 2O5,1050,Cubic Fd3m,7.9,41400,,-82,147
α-CaSiO 3+2 wt% Al 2O3 +2.5 wt% TiO 2,1250,Composite,7.9,24000,,-1,134
CAS-T5 glass (CaO:Al 2O3:SiO 2:TiO 2:B2O 3),950,Composite,8,22500,10,-20,148
CaMgSi 2O6+15 wt% LBS glass,925,Monoclinic C2/c,8,15000,10.17,-49,149
Ca1-xCd xMoO4 (x=0),1075,"Sheelite fergusonite type
Tetragonal I4 1/a",8,46500,,-20,150
CaAl 2Si 2O8+5 wt% TiO 2,900,Anorthic I-1,8,22500,,-50,148
CaMgSi 2O6+12 wt% Al 2O3,1250,Composite,8,60100,,-48,151
Li 2O-B2O3-SiO 2-Al 2O3-CaO,550,Composite,8,2400,,-48,152153
La2O3-2B2O3-0.5ZnO,900,Composite,8,72000,13,,154
YPO4,1600,Xenotime tetragonal I4 1/amd,8,67900,,-35,133
Sr 2-xCa xAl 2SiO 7 (x=1),1475,Tetragonal P4-2 1m,8,27500,,-42,101
20MgO-20La2O3-60B2O3+40 wt% Al 2O3,950,Composite,8.1,19000,,,125
BaWO4,1150,Scheelite Tetragonal I4 1/a,8.1,56000,,-55,138155
SrWO4,1150,Tetragonal I4 1/a,8.1,57500,,-78,138
MgZn 2(VO4) 2,800,Orthorhombic Cmca,8.1,44700,,-108,156
Li 2CaSiO 4+3 wt% BBS,900,Tetragonal I-42m,8.1,2000,,,12
60 wt% La2O3-B2O3 +40 wt% Al 2O3,850,Composite,8.1,4500,17.5,,69
CaZrB 2O6,1075,Dolomite type borate,8.1,39400,,3,157
Mg0.8 Zn 0.2 Al 2O4,,Spinel Cubic Fd3m,8.1,87000,,,158
